,Abs. Abundance,Rel. Abundance,Adj. Rel. Abundance
M2 104 34S,0.039833883819113194,0.8808626204102893,0.8808626204102893
M2 104 13C,0.00046929177250205645,0.010377636846568323,0.010377636846568323
M2 104 13C-D,6.077434173007259e-05,0.0013439273497196725,0.0013439273497196725
M2 104 13C-15N,0.00014342994363106493,0.0031717237657739555,0.0031717237657739555
M2 104 13C-33S,0.0003080687903088248,0.006812448495615978,0.006812448495615978
M2 104 13C-13C,0.0006412366111969779,0.014179921902843937,0.014179921902843937
M2 102 D,2.1605398383272277e-05,0.0004777688241829375,0.0004777688241829375
M2 102 D-D,6.047996286613305e-07,1.3374176320466305e-05,1.3374176320466305e-05
M2 102 ,0.03992148771601465,0.8827998404547417,0.8827998404547417
M2 102 15N,6.373703490699543e-05,0.0014094425700568805,0.0014094425700568805
M2 102 15N-D,4.078148497613637e-06,9.018173041682099e-05,9.018173041682099e-05
M2 102 17O,1.317393882544481e-05,0.00029132058344102766,0.00029132058344102766
M2 102 17O-D,8.42920900023624e-07,1.86398473260883e-05,1.86398473260883e-05
M2 102 17O-15N,2.486659948387617e-06,5.4988506974432286e-05,5.4988506974432286e-05
M2 102 18O,0.0035705021512926404,0.0789559435241188,0.0789559435241188
M2 102 17O-17O,1.2849321468885417e-07,2.8414218987468485e-06,2.8414218987468485e-06
M2 102 13C,0.0007598696011321723,0.016803300704066472,0.016803300704066472
M2 102 13C-D,4.861947338405807e-05,0.001075141879775738,0.001075141879775738
M2 102 13C-15N,0.00014342994363106493,0.0031717237657739564,0.0031717237657739564
M2 102 13C-17O,2.9645830024723386e-05,0.0006555701080617662,0.0006555701080617662
M2 102 13C-13C,0.0006412366111969779,0.014179921902843938,0.014179921902843938
M2 61 ,0.004060208505148764,0.08978501618115896,0.08978501618115896
M2 61 D,2.6622046058127175e-05,0.0005887039626347784,0.0005887039626347784
M2 61 D-D,2.159998673790466e-07,4.77649154302368e-06,4.77649154302368e-06
M2 61 33S,0.0002698975025052323,0.005968351526518168,0.005968351526518168
M2 61 33S-D,5.4745815385280046e-06,0.00012106161331332943,0.00012106161331332943
M2 61 34S,0.039833883819113194,0.8808626204102893,0.8808626204102893
M2 61 13C,0.0007490455176303974,0.01656394341216368,0.01656394341216368
M2 61 13C-D,1.5193585432518149e-05,0.0003359818374299181,0.0003359818374299181
M2 61 13C-33S,0.00015403439515441236,0.0034062242478079883,0.0034062242478079883
M2 61 13C-13C,0.00010687276853282965,0.002363320317140656,0.002363320317140656
M2 56 D,2.621159056283767e-05,0.000579627395941349,0.000579627395941349
M2 56 ,0.043711343554030696,0.9666064398717501,0.9666064398717501
M2 56 D-D,3.239998010685699e-07,7.164737314535525e-06,7.164737314535525e-06
M2 56 15N,0.00010310071788755268,0.002279907451079008,0.002279907451079008
M2 56 15N-D,3.0586113732102284e-06,6.76362978126158e-05,6.76362978126158e-05
M2 56 13C,0.0009218710302256717,0.020385703162976113,0.020385703162976113
M2 56 13C-D,2.734845377853267e-05,0.0006047673073738531,0.0006047673073738531
M2 56 13C-15N,0.00010757245772329871,0.0023787928243304687,0.0023787928243304687
M2 56 13C-13C,0.00032061830559848895,0.0070899609514219735,0.0070899609514219735
M3 133 D,2.2346810599365066e-09,8.25126589067681e-07,8.25126589067681e-07
M3 133 ,2.4156906767990864e-10,8.919620093108328e-08,8.919620093108328e-08
M3 133 D-D,3.221812549851323e-09,1.1896119081753005e-06,1.1896119081753005e-06
M3 133 D-D-D,2.8261077048086655e-10,1.0435030987701318e-07,1.0435030987701318e-07
M3 133 33S-D,4.082890355451417e-08,1.5075535623086542e-05,1.5075535623086542e-05
M3 133 33S,1.2586369533642042e-08,4.647351404291454e-06,4.647351404291454e-06
M3 133 33S-D-D,6.1395899071760795e-09,2.266962820424359e-06,2.266962820424359e-06
M3 133 34S,0.00016504293415005533,0.06093993265814243,0.06093993265814243
M3 133 34S-D,5.5840731692985654e-05,0.02061845571563843,0.02061845571563843
M3 133 17O-D,3.9290144699811164e-09,1.4507369154975492e-06,1.4507369154975492e-06
M3 133 17O,1.2112014704529457e-09,4.472202122736004e-07,4.472202122736004e-07
M3 133 17O-D-D,5.908201172445586e-10,2.18152557353496e-07,2.18152557353496e-07
M3 133 17O-33S,2.2129344947155064e-08,8.170969558880579e-06,8.170969558880579e-06
M3 133 17O-33S-D,7.487256695352438e-09,2.764571056366248e-06,2.764571056366248e-06
M3 133 17O-34S,3.0265784925762194e-05,0.011175243004010493,0.011175243004010493
M3 133 18O,1.4793590153407775e-05,0.005462338587007764,0.005462338587007764
M3 133 18O-D,5.005272735768076e-06,0.0018481311243292665,0.0018481311243292665
M3 133 18O-33S,2.8191142529677332e-05,0.010409208586613435,0.010409208586613435
