,Abs. Abundance,Rel. Abundance,Adj. Rel. Abundance
M3 104 ,4.1592111921348265e-05,0.015357340274212738,0.01563540736608026
M3 104 13C,0.00015695133527363972,0.05795221620021066,0.05900152577715148
M3 104 13C-34S,0.00174572314508334,0.644585310173993,0.6562564693369878
M3 102 D,4.974536741317156e-05,0.018367822626426635,0.018675264763972292
M3 102 ,0.0004612993306946342,0.1703287104809858,0.17317968655478172
M3 102 15N,0.00014675138884406993,0.05418602013895119,0.055092990235267515
M3 102 17O,3.0332346366627925e-05,0.011199819940580818,0.01138728345504794
M3 102 18O,6.95350937951617e-05,0.025674918802655995,0.02610466772165105
M3 102 13C,0.0017495623928733585,0.6460029019235977,0.6568157520402109
M3 102 13C-18O,0.00015647754242057208,0.05777727442091825,0.058744355229068713
M3 61 ,0.0001389232993007169,0.051295601036367135,0.05158195582032698
M3 61 33S,3.205765234658041e-05,0.011836866481073138,0.01190294511696915
M3 61 34S,0.0015294191808629828,0.5647179163884869,0.5678704221332004
M3 61 34S-D,3.102262871832537e-05,0.011454697619799127,0.01151864281969877
M3 61 13C,8.896948127741252e-05,0.032850810763858214,0.033034198552072666
M3 61 13C-34S,0.00087286157254167,0.32229265508699645,0.32409183555773213
M3 56 D,4.085087323185497e-05,0.015083647637481845,0.015180160112932474
M3 56 ,0.0010527963657168855,0.3887312108205303,0.39121850118575874
M3 56 15N,0.000160682898904617,0.059330046990437486,0.05970966933652175
M3 56 13C,0.0014367398461221593,0.5304972910282261,0.533891669364787
M4 133 36S,9.372657178216173e-05,0.28694218732454785,0.2945523936060813
M4 133 18O-34S,0.00015974980766817154,0.4890711178844712,0.5020421352456489
M4 133 18O-18O,3.579785456886002e-06,0.010959447781135776,0.011250111413150972
M4 133 13C-34S,9.041274740701132e-06,0.027679697453659828,0.028413811211545605
M4 133 13C-13C-34S,4.781653530695562e-05,0.14638944933512069,0.1502719523482461
M4 133 13C-13C-18O,4.286025509240602e-06,0.013121588799905022,0.013469596175327274
M4 104 34S,0.00016023350849821578,0.4905519591394589,0.5108322760876972
M4 104 36S,9.372657178216173e-05,0.28694218732454785,0.29880490318235614
M4 104 ,3.607343184803024e-06,0.011043815261732245,0.011500386822915324
M4 104 13C-34S,2.099684224257293e-05,0.06428144895766913,0.06693896185607938
M4 104 13C-34S-15N,6.417278281326362e-06,0.019646380228158084,0.020458597589620858
M4 104 13C-13C-34S,2.868992118417337e-05,0.0878336696010724,0.09146487446133102
M4 102 ,9.400429558621196e-05,0.28779243367722035,0.30025061624238586
M4 102 18O,0.00016010113433630516,0.4901466980609661,0.5113645493092908
M4 102 18O-18O,3.579785456886002e-06,0.01095944778113578,0.011433868875277265
M4 102 13C,2.0216480071638805e-05,0.061892384426923276,0.06457163007188982
M4 102 13C-15N,6.43139135620247e-06,0.01968958714907522,0.020541925301964373
M4 102 13C-13C,2.875301693724989e-05,0.08802683609649004,0.09183741019919195
M4 61 ,5.5014470392342694e-06,0.016842579610795945,0.017236019020990694
M4 61 34S,0.0001816600299639557,0.556148863189522,0.5691403933333671
M4 61 36S,9.372657178216173e-05,0.28694218732454796,0.29364510145942296
M4 61 13C-34S,3.351345897742734e-05,0.10260084243927005,0.10499757832341669
M4 61 13C-13C-34S,4.781653530695562e-06,0.014638944933512074,0.014980907862802468
M4 56 ,0.00026455585822933973,0.8099329270922668,0.8163972159784875
M4 56 15N,3.870079440375271e-06,0.011848177508530115,0.011942740946598161
