,Abs. Abundance,Rel. Abundance,Adj. Rel. Abundance
M2 104 13C-33S,0.00030578444693344915,0.00674767735062159,0.00674767735062159
M2 104 13C-13C,0.0006283744034543493,0.013866198141928627,0.013866198141928627
M2 102 D,2.1920482693531613e-05,0.0004837144140886519,0.0004837144140886519
M2 102 D-D,6.42405134911399e-07,1.4175811171024228e-05,1.4175811171024228e-05
M2 102 ,0.040126203844331104,0.8854560117825281,0.8854560117825281
M2 102 15N,6.333402696085385e-05,0.0013975778805402118,0.0013975778805402118
M2 102 15N-D,4.249217692091902e-06,9.376654132127694e-05,9.376654132127694e-05
M2 102 17O,1.2792536594596372e-05,0.0002822900585756163,0.0002822900585756163
M2 102 17O-D,8.582791183969763e-07,1.893945433064874e-05,1.893945433064874e-05
M2 102 17O-15N,2.4797936060291335e-06,5.4721053727303395e-05,5.4721053727303395e-05
M2 102 18O,0.0034825272613952523,0.07684815418278383,0.07684815418278383
M2 102 17O-17O,1.2522040668510385e-07,2.763210851625144e-06,2.763210851625144e-06
M2 102 13C,0.0007437552806338915,0.01641228228534058,0.01641228228534058
M2 102 13C-D,4.990016028839769e-05,0.001101135733838319,0.001101135733838319
M2 102 13C-15N,0.0001441746580694086,0.003181470099426902,0.003181470099426902
M2 102 13C-17O,2.912114826531256e-05,0.0006426098990466608,0.0006426098990466608
M2 102 13C-13C,0.0006349086357662899,0.014010387592429285,0.014010387592429285
M2 61 ,0.003972853802653692,0.08766808086655749,0.08766808086655749
M2 61 D,2.1563182603335142e-05,0.0004758299525008508,0.0004758299525008508
M2 61 D-D,1.4147822471686459e-07,3.121968504617596e-06,3.121968504617596e-06
M2 61 33S,0.0002705637804241446,0.005970470739683807,0.005970470739683807
M2 61 33S-D,4.447141403629348e-06,9.813407982392304e-05,9.813407982392304e-05
M2 61 34S,0.04004205773145983,0.8835991782330836,0.8835991782330836
M2 61 13C,0.0007374986643845537,0.01627421892672125,0.01627421892672125
M2 61 13C-D,1.2121950840442999e-05,0.00026749239195022703,0.00026749239195022703
M2 61 13C-33S,0.00015210003578036848,0.00335635764590504,0.00335635764590504
M2 61 13C-13C,0.00010364518318204168,0.002287115195269228,0.002287115195269228
M2 56 D,2.6187546721485516e-05,0.0005778747665324213,0.0005778747665324213
M2 56 ,0.04382530825204038,0.9670833256626116,0.9670833256626116
M2 56 D-D,3.2865731927354103e-07,7.252407935125411e-06,7.252407935125411e-06
M2 56 15N,0.0001031764018872673,0.002276770702745602,0.002276770702745602
M2 56 15N-D,3.116092974200728e-06,6.876213030226975e-05,6.876213030226975e-05
M2 56 13C,0.0009071680563382707,0.02001827564595983,0.02001827564595983
M2 56 13C-D,2.739793164975512e-05,0.0006045840614227402,0.0006045840614227402
M2 56 13C-15N,0.00010794520146691544,0.002382002741967822,0.002382002741967822
M2 56 13C-13C,0.0003163648105591875,0.006981151880522299,0.006981151880522299
M3 133 D,2.2260403388060952e-09,8.267091468072207e-07,8.267091468072207e-07
M3 133 ,2.776404810380098e-10,1.031104069395182e-07,1.031104069395182e-07
M3 133 D-D,2.776267727649916e-09,1.0310531594700853e-06,1.0310531594700853e-06
M3 133 D-D-D,2.1942830554390934e-10,8.149150943008182e-08,8.149150943008182e-08
M3 133 33S-D,3.838036056918797e-08,1.425373771857364e-05,1.425373771857364e-05
M3 133 33S,1.3629086838843065e-08,5.06158426506526e-06,5.06158426506526e-06
M3 133 33S-D-D,5.218240145887449e-09,1.9379553836636825e-06,1.9379553836636825e-06
M3 133 34S,0.00016862479318226174,0.06262404884226798,0.06262404884226798
M3 133 34S-D,5.176669257169311e-05,0.019225167443249983,0.019225167443249983
M3 133 17O-D,3.636283479325008e-09,1.350446692423496e-06,1.350446692423496e-06
M3 133 17O,1.2912651829060055e-09,4.795513895469802e-07,4.795513895469802e-07
M3 133 17O-D-D,4.943934906352682e-10,1.8360836221383892e-07,1.8360836221383892e-07
M3 133 17O-33S,2.2263398576573574e-08,8.268203824257596e-06,8.268203824257596e-06
M3 133 17O-33S-D,6.834715630867203e-09,2.5382837091329037e-06,2.5382837091329037e-06
M3 133 17O-34S,3.0028444043326456e-05,0.011151994383139168,0.011151994383139168
M3 133 18O,1.4665590942969596e-05,0.005446522223576922,0.005446522223576922
M3 133 18O-D,4.502239103749875e-06,0.0016720461814180012,0.0016720461814180012
M3 133 18O-33S,2.7565272131210505e-05,0.01023721906914057,0.01023721906914057
M3 133 17O-17O,5.273271748690559e-10,1.9583930768212078e-07,1.9583930768212078e-07
M3 133 17O-17O-D,1.6188594352575573e-10,6.01213679371321e-08,6.01213679371321e-08
M3 133 17O-17O-33S,9.911579515598168e-10,3.680972578083117e-07,3.680972578083117e-07
M3 133 17O-18O,6.529064746091021e-07,0.00024247707696909739,0.00024247707696909739
M3 133 18O-17O,6.529064746091021e-07,0.00024247707696909739,0.00024247707696909739
M3 133 13C-D,2.6344859081666053e-07,9.783980817635023e-05,9.783980817635023e-05
M3 133 13C,9.355211020851197e-08,3.474347875204024e-05,3.474347875204024e-05
M3 133 13C-D-D,3.581878837481852e-08,1.3302418406710651e-05,1.3302418406710651e-05
M3 133 13C-33S,1.6129823252604887e-06,0.0005990310322257735,0.0005990310322257735
M3 133 13C-33S-D,4.951748706673459e-07,0.00018389855193250214,0.00018389855193250214
M3 133 13C-34S,0.002175559554861707,0.8079615414303983,0.8079615414303983
M3 133 13C-17O,1.5281932985529654e-07,5.67541996422592e-05,5.67541996422592e-05
M3 133 13C-17O-D,4.691452020985179e-08,1.7423162689117433e-05,1.7423162689117433e-05
M3 133 13C-17O-33S,2.872374138043081e-07,0.00010667452568475528,0.00010667452568475528
M3 133 13C-18O,0.00018921219057736478,0.0702698176267704,0.0702698176267704
M3 133 13C-17O-17O,6.803457855598938e-09,2.5266751644571238e-06,2.5266751644571238e-06
M3 133 13C-13C,4.428647238207141e-06,0.001644715558825863,0.001644715558825863
M3 133 13C-13C-D,1.3595653151725446e-06,0.0005049167628012559,0.0005049167628012559
M3 133 13C-13C-33S,8.324033226416625e-06,0.003091388007055015,0.003091388007055015
M3 133 13C-13C-17O,7.886466946553656e-07,0.00029288841927300964,0.00029288841927300964
