,Abs. Abundance,Rel. Abundance,Adj. Rel. Abundance
M2 61 13C-13C,0.00010687276853282965,0.002363320317140656,0.0023658056525330397
M2 56 ,0.043711343554030696,0.9666064398717501,0.967825121139847
M2 56 15N,0.00010310071788755268,0.002279907451079008,0.0022827819203449
M2 56 13C,0.0009218710302256717,0.020385703162976113,0.020411405117315456
M2 56 13C-15N,0.00010757245772329871,0.0023787928243304687,0.002381791966624699
M2 56 13C-13C,0.00032061830559848895,0.0070899609514219735,0.007098899855868112
M3 133 34S,0.00016504293415005533,0.06093993265814243,0.06109384469123971
M3 133 34S-D,5.5840731692985654e-05,0.02061845571563843,0.020670530411163977
M3 133 17O-34S,3.0265784925762194e-05,0.011175243004010493,0.011203467590026238
M3 133 18O,1.4793590153407775e-05,0.005462338587007764,0.005476134461087709
M3 133 18O-D,5.005272735768076e-06,0.0018481311243292665,0.0018527988291718626
M3 133 18O-33S,2.8191142529677332e-05,0.010409208586613435,0.010435498449214478
M3 133 13C-34S,0.002182153931354175,0.8057316377174913,0.8077666218253271
M3 133 13C-18O,0.00019559692802571511,0.07222159302614782,0.07240399841669093
M3 133 13C-13C,4.428038044067026e-06,0.001634994806671321,0.0016391242069483108
M3 133 13C-13C-33S,8.438212112992172e-06,0.00311569883660295,0.003123567954955123
M3 133 13C-13C-13C,1.1709269076931856e-05,0.00432349359697843,0.004334413164174655
M3 104 D,5.5782533613679945e-06,0.002059696684032251,0.0020659960562654624
M3 104 15N,1.3164907136870022e-05,0.004860968804893782,0.00487583558219815
M3 104 33S,2.8276501499685138e-05,0.010440726263579322,0.010472658159974179
M3 104 34S,0.00047910562268392733,0.1769034495954284,0.17744449075308033
M3 104 34S-D,6.204525743665074e-05,0.022909395239598257,0.022979461288337753
M3 104 34S-15N,0.00014642935691906012,0.05406711408626295,0.05423247284022185
M3 104 ,4.1592111921348265e-05,0.015357340274212738,0.015404309133098289
M3 104 13C,0.00015695133527363972,0.05795221620021066,0.058129457142731364
M3 104 13C-33S,3.7053251016305184e-06,0.0013681425583756976,0.0013723268828493545
M3 104 13C-34S,0.00174572314508334,0.644585310173993,0.64655670860189
M3 104 13C-13C,7.71253105246666e-06,0.0028477506497420263,0.002856460204653274
M3 104 13C-13C-33S,5.062927267795302e-06,0.0018694193019617694,0.0018751367302289026
M3 104 13C-13C-13C,4.683707630772742e-06,0.0017293974387913714,0.0017346866244712655
M3 102 D,4.974536741317156e-05,0.018367822626426635,0.01841573378163627
